id,Class_1,Class_2,Class_3,Class_4
100000,0.094800264,0.613715424,0.173074082,0.118410231
100001,0.069297846,0.706023491,0.137866294,0.086812368
100002,0.086493306,0.639608818,0.176885291,0.097012585
100003,0.081761697,0.553701337,0.278533752,0.086003214
100004,0.071382953,0.624613155,0.189269236,0.114734656
100005,0.077980766,0.455575604,0.328787789,0.137655842
100006,0.101022406,0.350950967,0.429264148,0.118762478
100007,0.088795648,0.74075645,0.110524393,0.05992351
100008,0.082573487,0.579372694,0.233142031,0.104911787
100009,0.082962316,0.54307324,0.226023872,0.147940572
100010,0.085621043,0.57359922,0.191469683,0.149310054
100011,0.071648429,0.726384353,0.088441026,0.113526192
100012,0.085056548,0.436723369,0.318551794,0.159668289
100013,0.093897845,0.547058849,0.206346494,0.152696812
100014,0.13332609,0.523077905,0.249634356,0.09396165
100015,0.093925197,0.534767385,0.257880407,0.113427011
100016,0.075673382,0.579007258,0.169760075,0.175559286
100017,0.087016638,0.491918421,0.297188262,0.12387668
100018,0.098404286,0.497689971,0.314899153,0.08900659
100019,0.068889769,0.655553844,0.130895287,0.1446611
100020,0.07094074,0.52036066,0.257426398,0.151272202
100021,0.086502056,0.504880562,0.31202491,0.096592472
100022,0.067323937,0.578301262,0.251145136,0.103229664
100023,0.08967758,0.530245524,0.220484053,0.159592843
100024,0.076837505,0.649851673,0.148051624,0.125259198
100025,0.097989722,0.496903064,0.210653165,0.194454048
100026,0.089341792,0.501767527,0.310782332,0.09810835
100027,0.084931083,0.524181215,0.334111155,0.056776547
100028,0.082929058,0.590472651,0.196936443,0.129661848
100029,0.078841746,0.622726417,0.215678787,0.082753049
100030,0.077811817,0.587552443,0.218426306,0.116209433
100031,0.088974745,0.544725249,0.244538739,0.121761267
100032,0.063282482,0.391919608,0.408652721,0.136145188
100033,0.089609135,0.465449001,0.314544148,0.130397716
100034,0.09649575,0.498813655,0.27623281,0.128457784
100035,0.104730428,0.588164244,0.198277933,0.108827395
